building_count,total_risk,grid_id,grid_bounds,avg_risk
2.0,0.16937148571,318,"[[42.294198640800012, -83.153191000000021], [42.294198640800012, -83.145603000000023], [42.300687239100014, -83.145603000000023], [42.300687239100014, -83.153191000000021]]",0.0846857428551
85.0,24.8979027569,320,"[[42.294198640800012, -83.138015000000024], [42.294198640800012, -83.130427000000026], [42.300687239100014, -83.130427000000026], [42.300687239100014, -83.138015000000024]]",0.292916503023
121.0,36.9819751382,321,"[[42.294198640800012, -83.130427000000026], [42.294198640800012, -83.122839000000027], [42.300687239100014, -83.122839000000027], [42.300687239100014, -83.130427000000026]]",0.305636158167
66.0,21.3609569073,322,"[[42.294198640800012, -83.122839000000027], [42.294198640800012, -83.115251000000029], [42.300687239100014, -83.115251000000029], [42.300687239100014, -83.122839000000027]]",0.323650862231
63.0,16.9515031278,323,"[[42.294198640800012, -83.115251000000029], [42.294198640800012, -83.107663000000031], [42.300687239100014, -83.107663000000031], [42.300687239100014, -83.115251000000029]]",0.269071478219
41.0,10.1987462342,324,"[[42.294198640800012, -83.107663000000031], [42.294198640800012, -83.100075000000032], [42.300687239100014, -83.100075000000032], [42.300687239100014, -83.107663000000031]]",0.248749908151
6.0,1.24165153503,325,"[[42.294198640800012, -83.100075000000032], [42.294198640800012, -83.092487000000034], [42.300687239100014, -83.092487000000034], [42.300687239100014, -83.100075000000032]]",0.206941922505
2.0,0.171226233244,355,"[[42.300687239100014, -83.251835], [42.300687239100014, -83.244247000000001], [42.307175837400017, -83.244247000000001], [42.307175837400017, -83.251835]]",0.085613116622
1.0,0.0846857428551,369,"[[42.300687239100014, -83.145603000000023], [42.300687239100014, -83.138015000000024], [42.307175837400017, -83.138015000000024], [42.307175837400017, -83.145603000000023]]",0.0846857428551
193.0,63.4370833039,370,"[[42.300687239100014, -83.138015000000024], [42.300687239100014, -83.130427000000026], [42.307175837400017, -83.130427000000026], [42.307175837400017, -83.138015000000024]]",0.328689550798
251.0,83.8350689113,371,"[[42.300687239100014, -83.130427000000026], [42.300687239100014, -83.122839000000027], [42.307175837400017, -83.122839000000027], [42.307175837400017, -83.130427000000026]]",0.334004258611
154.0,44.5160873234,372,"[[42.300687239100014, -83.122839000000027], [42.300687239100014, -83.115251000000029], [42.307175837400017, -83.115251000000029], [42.307175837400017, -83.122839000000027]]",0.2890655021
252.0,94.3068481684,373,"[[42.300687239100014, -83.115251000000029], [42.300687239100014, -83.107663000000031], [42.307175837400017, -83.107663000000031], [42.307175837400017, -83.115251000000029]]",0.374233524478
124.0,44.7288396359,374,"[[42.300687239100014, -83.107663000000031], [42.300687239100014, -83.100075000000032], [42.307175837400017, -83.100075000000032], [42.307175837400017, -83.107663000000031]]",0.360716448676
64.0,19.1195287406,375,"[[42.300687239100014, -83.100075000000032], [42.300687239100014, -83.092487000000034], [42.307175837400017, -83.092487000000034], [42.307175837400017, -83.100075000000032]]",0.298742636573
4.0,0.438393980264,376,"[[42.300687239100014, -83.092487000000034], [42.300687239100014, -83.084899000000036], [42.307175837400017, -83.084899000000036], [42.307175837400017, -83.092487000000034]]",0.109598495066
1.0,0.100513905287,400,"[[42.307175837400017, -83.289774999999992], [42.307175837400017, -83.282186999999993], [42.313664435700019, -83.282186999999993], [42.313664435700019, -83.289774999999992]]",0.100513905287
1.0,0.0846857428551,401,"[[42.307175837400017, -83.282186999999993], [42.307175837400017, -83.274598999999995], [42.313664435700019, -83.274598999999995], [42.313664435700019, -83.282186999999993]]",0.0846857428551
1.0,0.447213709354,413,"[[42.307175837400017, -83.191131000000013], [42.307175837400017, -83.183543000000014], [42.313664435700019, -83.183543000000014], [42.313664435700019, -83.191131000000013]]",0.447213709354
3.0,1.4351554215,414,"[[42.307175837400017, -83.183543000000014], [42.307175837400017, -83.175955000000016], [42.313664435700019, -83.175955000000016], [42.313664435700019, -83.183543000000014]]",0.478385140499
2.0,0.890538096428,415,"[[42.307175837400017, -83.175955000000016], [42.307175837400017, -83.168367000000018], [42.313664435700019, -83.168367000000018], [42.313664435700019, -83.175955000000016]]",0.445269048214
19.0,4.91261795163,419,"[[42.307175837400017, -83.145603000000023], [42.307175837400017, -83.138015000000024], [42.313664435700019, -83.138015000000024], [42.313664435700019, -83.145603000000023]]",0.258558839559
291.0,86.9191669226,420,"[[42.307175837400017, -83.138015000000024], [42.307175837400017, -83.130427000000026], [42.313664435700019, -83.130427000000026], [42.313664435700019, -83.138015000000024]]",0.298691295267
309.0,94.9254606962,421,"[[42.307175837400017, -83.130427000000026], [42.307175837400017, -83.122839000000027], [42.313664435700019, -83.122839000000027], [42.313664435700019, -83.130427000000026]]",0.307202138175
202.0,63.7816219926,422,"[[42.307175837400017, -83.122839000000027], [42.307175837400017, -83.115251000000029], [42.313664435700019, -83.115251000000029], [42.313664435700019, -83.122839000000027]]",0.315750603924
251.0,82.9438868165,423,"[[42.307175837400017, -83.115251000000029], [42.307175837400017, -83.107663000000031], [42.313664435700019, -83.107663000000031], [42.313664435700019, -83.115251000000029]]",0.330453732337
283.0,93.1024879813,424,"[[42.307175837400017, -83.107663000000031], [42.307175837400017, -83.100075000000032], [42.313664435700019, -83.100075000000032], [42.313664435700019, -83.107663000000031]]",0.328984056471
180.0,50.6863931119,425,"[[42.307175837400017, -83.100075000000032], [42.307175837400017, -83.092487000000034], [42.313664435700019, -83.092487000000034], [42.313664435700019, -83.100075000000032]]",0.281591072844
28.0,6.50870704651,426,"[[42.307175837400017, -83.092487000000034], [42.307175837400017, -83.084899000000036], [42.313664435700019, -83.084899000000036], [42.313664435700019, -83.092487000000034]]",0.232453823089
19.0,3.86152774095,427,"[[42.307175837400017, -83.084899000000036], [42.307175837400017, -83.077311000000037], [42.313664435700019, -83.077311000000037], [42.313664435700019, -83.084899000000036]]",0.203238302155
1.0,0.0846857428551,451,"[[42.313664435700019, -83.282186999999993], [42.313664435700019, -83.274598999999995], [42.320153034000022, -83.274598999999995], [42.320153034000022, -83.282186999999993]]",0.0846857428551
1.0,0.0846857428551,457,"[[42.313664435700019, -83.236659000000003], [42.313664435700019, -83.229071000000005], [42.320153034000022, -83.229071000000005], [42.320153034000022, -83.236659000000003]]",0.0846857428551
2.0,0.772782862187,464,"[[42.313664435700019, -83.183543000000014], [42.313664435700019, -83.175955000000016], [42.320153034000022, -83.175955000000016], [42.320153034000022, -83.183543000000014]]",0.386391431093
3.0,1.49960100651,465,"[[42.313664435700019, -83.175955000000016], [42.313664435700019, -83.168367000000018], [42.320153034000022, -83.168367000000018], [42.320153034000022, -83.175955000000016]]",0.499867002169
16.0,7.43550914526,466,"[[42.313664435700019, -83.168367000000018], [42.313664435700019, -83.160779000000019], [42.320153034000022, -83.160779000000019], [42.320153034000022, -83.168367000000018]]",0.464719321579
1.0,0.462595582008,467,"[[42.313664435700019, -83.160779000000019], [42.313664435700019, -83.153191000000021], [42.320153034000022, -83.153191000000021], [42.320153034000022, -83.160779000000019]]",0.462595582008
1.0,0.104994118214,468,"[[42.313664435700019, -83.153191000000021], [42.313664435700019, -83.145603000000023], [42.320153034000022, -83.145603000000023], [42.320153034000022, -83.153191000000021]]",0.104994118214
7.0,2.05075514317,469,"[[42.313664435700019, -83.145603000000023], [42.313664435700019, -83.138015000000024], [42.320153034000022, -83.138015000000024], [42.320153034000022, -83.145603000000023]]",0.292965020452
85.0,29.7953794003,470,"[[42.313664435700019, -83.138015000000024], [42.313664435700019, -83.130427000000026], [42.320153034000022, -83.130427000000026], [42.320153034000022, -83.138015000000024]]",0.350533875297
170.0,53.2603947222,471,"[[42.313664435700019, -83.130427000000026], [42.313664435700019, -83.122839000000027], [42.320153034000022, -83.122839000000027], [42.320153034000022, -83.130427000000026]]",0.313296439542
53.0,11.6321881413,472,"[[42.313664435700019, -83.122839000000027], [42.313664435700019, -83.115251000000029], [42.320153034000022, -83.115251000000029], [42.320153034000022, -83.122839000000027]]",0.21947524795
109.0,28.5435043275,473,"[[42.313664435700019, -83.115251000000029], [42.313664435700019, -83.107663000000031], [42.320153034000022, -83.107663000000031], [42.320153034000022, -83.115251000000029]]",0.261867012179
257.0,81.9654738009,474,"[[42.313664435700019, -83.107663000000031], [42.313664435700019, -83.100075000000032], [42.320153034000022, -83.100075000000032], [42.320153034000022, -83.107663000000031]]",0.318931804673
237.0,76.4653018713,475,"[[42.313664435700019, -83.100075000000032], [42.313664435700019, -83.092487000000034], [42.320153034000022, -83.092487000000034], [42.320153034000022, -83.100075000000032]]",0.32263840452
135.0,36.0990254283,476,"[[42.313664435700019, -83.092487000000034], [42.313664435700019, -83.084899000000036], [42.320153034000022, -83.084899000000036], [42.320153034000022, -83.092487000000034]]",0.267400188358
47.0,12.9376213849,477,"[[42.313664435700019, -83.084899000000036], [42.313664435700019, -83.077311000000037], [42.320153034000022, -83.077311000000037], [42.320153034000022, -83.084899000000036]]",0.275268540103
17.0,3.02055549621,478,"[[42.313664435700019, -83.077311000000037], [42.313664435700019, -83.069723000000039], [42.320153034000022, -83.069723000000039], [42.320153034000022, -83.077311000000037]]",0.177679735071
1.0,0.221847206354,479,"[[42.313664435700019, -83.069723000000039], [42.313664435700019, -83.06213500000004], [42.320153034000022, -83.06213500000004], [42.320153034000022, -83.069723000000039]]",0.221847206354
1.0,0.0846857428551,505,"[[42.320153034000022, -83.251835], [42.320153034000022, -83.244247000000001], [42.326641632300024, -83.244247000000001], [42.326641632300024, -83.251835]]",0.0846857428551
1.0,0.0865404903889,506,"[[42.320153034000022, -83.244247000000001], [42.320153034000022, -83.236659000000003], [42.326641632300024, -83.236659000000003], [42.326641632300024, -83.244247000000001]]",0.0865404903889
1.0,0.105005830526,509,"[[42.320153034000022, -83.221483000000006], [42.320153034000022, -83.213895000000008], [42.326641632300024, -83.213895000000008], [42.326641632300024, -83.221483000000006]]",0.105005830526
2.0,0.924209713936,513,"[[42.320153034000022, -83.191131000000013], [42.320153034000022, -83.183543000000014], [42.326641632300024, -83.183543000000014], [42.326641632300024, -83.191131000000013]]",0.462104856968
4.0,1.52399274707,514,"[[42.320153034000022, -83.183543000000014], [42.320153034000022, -83.175955000000016], [42.326641632300024, -83.175955000000016], [42.326641632300024, -83.183543000000014]]",0.380998186767
2.0,0.976735889911,515,"[[42.320153034000022, -83.175955000000016], [42.320153034000022, -83.168367000000018], [42.326641632300024, -83.168367000000018], [42.326641632300024, -83.175955000000016]]",0.488367944955
8.0,2.95232114196,516,"[[42.320153034000022, -83.168367000000018], [42.320153034000022, -83.160779000000019], [42.326641632300024, -83.160779000000019], [42.326641632300024, -83.168367000000018]]",0.369040142745
5.0,2.1805858016,517,"[[42.320153034000022, -83.160779000000019], [42.320153034000022, -83.153191000000021], [42.326641632300024, -83.153191000000021], [42.326641632300024, -83.160779000000019]]",0.43611716032
27.0,8.3402955234,518,"[[42.320153034000022, -83.153191000000021], [42.320153034000022, -83.145603000000023], [42.326641632300024, -83.145603000000023], [42.326641632300024, -83.153191000000021]]",0.3088998342
89.0,28.1855570078,519,"[[42.320153034000022, -83.145603000000023], [42.320153034000022, -83.138015000000024], [42.326641632300024, -83.138015000000024], [42.326641632300024, -83.145603000000023]]",0.316691651773
